Activity,ax,ay,az,Time
pointing upwards,0.18,-9.92,-0.49,2021-04-03 18:20:59
pointing upwards,0.18,-9.98,-0.49,2021-04-03 18:21:00
pointing upwards,0.2,-9.93,-0.46,2021-04-03 18:21:00
pointing upwards,0.19,-9.93,-0.48,2021-04-03 18:21:00
pointing upwards,0.19,-9.98,-0.47,2021-04-03 18:21:00
pointing upwards,0.15,-9.95,-0.52,2021-04-03 18:21:01
pointing upwards,0.23,-9.92,-0.5,2021-04-03 18:21:01
pointing upwards,0.23,-9.93,-0.54,2021-04-03 18:21:01
pointing upwards,0.18,-9.92,-0.51,2021-04-03 18:21:01
pointing upwards,0.17,-9.92,-0.58,2021-04-03 18:21:01
pointing upwards,0.17,-9.93,-0.48,2021-04-03 18:21:01
pointing upwards,0.15,-9.94,-0.51,2021-04-03 18:21:02
pointing upwards,0.19,-9.93,-0.42,2021-04-03 18:21:02
pointing upwards,0.16,-9.9,-0.46,2021-04-03 18:21:02
pointing upwards,0.18,-9.99,-0.45,2021-04-03 18:21:02
pointing upwards,0.22,-9.96,-0.47,2021-04-03 18:21:02
pointing upwards,0.2,-9.99,-0.5,2021-04-03 18:21:03
pointing upwards,0.15,-9.97,-0.45,2021-04-03 18:21:03
pointing upwards,0.17,-9.91,-0.56,2021-04-03 18:21:03
pointing upwards,0.19,-9.94,-0.52,2021-04-03 18:21:03
pointing upwards,0.24,-9.9,-0.42,2021-04-03 18:21:03
pointing upwards,0.14,-9.94,-0.51,2021-04-03 18:21:04
pointing upwards,0.15,-9.96,-0.52,2021-04-03 18:21:04
pointing upwards,0.19,-9.94,-0.43,2021-04-03 18:21:04
pointing upwards,0.18,-9.94,-0.5,2021-04-03 18:21:04
pointing upwards,0.23,-9.94,-0.48,2021-04-03 18:21:04
pointing upwards,0.15,-9.9,-0.47,2021-04-03 18:21:05
pointing upwards,0.21,-9.86,-0.49,2021-04-03 18:21:05
pointing upwards,0.19,-9.92,-0.46,2021-04-03 18:21:05
pointing upwards,0.15,-9.93,-0.43,2021-04-03 18:21:05
